;Address;Bal;B;Balance;Label
40;D7vrVREYM4H9Vbtoqi6mxsmzsuVjE6PDet;289,359,498 DOGE ($17,795,132) / -203000016 DOGE;289,359,498;289359498;
41;DLH6o3PPPupQY5bKFw8sVDw477zkdzxRKe;274,851,003 DOGE ($16,902,883);274,851,003;274851003;
;wallet: 3424410;;;;
42;DK1D2fkQmT8T7ToboCh5j2pPdnvq1H1H9e;258,492,753 DOGE ($15,896,878) / +258492753 DOGE;258,492,753;258492753;
43;D79tQ1VkKn9v2BekHShAZSq2m8XtUA8VEP;250,000,006 DOGE ($15,374,588) / +145000000 DOGE;250,000,006;250000006;
;wallet: 3395110;;;;
44;DFCT8ZPq6MytZU3HSvbTJevxt4MLq2Xasu;227,000,015 DOGE ($13,960,126);227,000,015;227000015;
45;D8znPD1n3F7KoV9pTBAzyUuEmKG65GG9ab;225,020,506 DOGE ($13,838,390);225,020,506;225020506;
46;D8AGXH8zdcNnGbzBtR23UExtbCnTYS1h3n;221,581,598 DOGE ($13,626,903);221,581,598;221581598;
47;DQFoGSJspF6M2rAHShe7tmMEtTnodFSKHW;220,003,216 DOGE ($13,529,835);220,003,216;220003216;
48;DHSxXxD1hfXxghtk6ZGboGME5UwSdFRNHk;219,998,876 DOGE ($13,529,568);219,998,876;219998876;
;wallet: 3068456;;;;
49;DAN6kLu7xtRFkUZhPCEiCUNpJjsAZPWCRq;218,344,741 DOGE ($13,427,841);218,344,741;218344741;
50;DHFu8WjwXzHVy9pknMrxdQpePFir2FmiuG;192,988,371 DOGE ($11,868,466) +9012311 DOGE / +53735329 DOGE;192,988,371;192988371;
51;D78RSZmmfSXUAgFivtg5Ld5NMChVeDyWx8;190,160,026 DOGE ($11,694,528) -405333917 DOGE / -132267554 DOGE;190,160,026;190160026;
;wallet: 3372160;;;;
52;DGJNetovmNoBZiF5YymLfcc4R8LAQeewkz;186,139,953 DOGE ($11,447,300) +186139953 DOGE / +186139953 DOGE;186,139,953;186139953;
53;DLZxgWfMASwbqtRFtLy6rVEAjTzMcSguJe;185,390,129 DOGE ($11,401,187);185,390,129;185390129;Exchange
;wallet: Kraken;;;;
54;DL6eP9yfnmJTVewgw63V1ueDErBjYCnE3P;182,647,850 DOGE ($11,232,541);182,647,850;182647850;
55;DPtCFXLTkqSzUTHCt3JEkbh8LHCxN22EUz;180,959,543 DOGE ($11,128,713) -6681527 DOGE / -74968381 DOGE;180,959,543;180959543;
56;DSS3QiBvezK8rZSS7GzDf9qyWHEdr8t2b8;180,780,767 DOGE ($11,117,719);180,780,767;180780767;
57;DD1h9ojoyAdAGLXaqgqZP3j86AtxZs6jCn;176,644,459 DOGE ($10,863,343);176,644,459;176644459;
;wallet: 2193596;;;;
58;DEXZ68xXMW8VX2UGP9kbDgyduEZwacGmMc;175,676,873 DOGE ($10,803,838) +7166563 DOGE / +5809306 DOGE;175,676,873;175676873;
;wallet: 205725;;;;
59;DFfEX64RwVysrk65F47GoSiuc38hLvxnjX;169,862,347 DOGE ($10,446,254);169,862,347;169862347;
60;DCLHWoDUWkfM6ejSBPnV64wBgcDnn8twEp;164,999,999 DOGE ($10,147,228) +164999999 DOGE / +164999999 DOGE;164,999,999;164999999;
61;DR2SpAVZPwJDVxJgTkJvGej3HC5aLBhQBM;163,708,101 DOGE ($10,067,778);163,708,101;163708101;Exchange
;wallet: Kraken;;;;
62;DEnzooCbsBkUjqKJJh7SvWfSwKxBhbqyGi;162,867,655 DOGE ($10,016,092);162,867,655;162867655;
63;DLPaeuaJi2JLUcvYHD4ddLxadwnGaVSt4p;162,346,418 DOGE ($9,984,037) -18149537 DOGE / +145866685 DOGE;162,346,418;162346418;
64;DLDPcmz1omzix37UPwXCfZvLjAEcJ2yLHb;161,226,551 DOGE ($9,915,167);161,226,551;161226551;
;wallet: 3068456;;;;
65;DF1R6bUwDcYsaqZr6bKsrmtVSnwGpQeyLn;161,089,350 DOGE ($9,906,729);161,089,350;161089350;
;wallet: 2034954;;;;
66;DE1ekWYKnnTRn9vctx4UDgPZczW5RdAb3S;159,687,723 DOGE ($9,820,531);159,687,723;159687723;
;wallet: 2712684;;;;
67;DSVE8hQgj8XmkH5ixLJ23utaUHzRZY6MRF;150,000,007 DOGE ($9,224,753);150,000,007;150000007;
68;DEHiiX3YuFKzRFbXQLgJ6wtqgmAUN8EZaG;149,924,195 DOGE ($9,220,091);149,924,195;149924195;
69;DQ5xwLot4js7ehQ9L65iq5jxWz4DxNvhQ9;146,402,402 DOGE ($9,003,506);146,402,402;146402402;
70;DEN9enVfqSNXRz5guvEzpvQeKEx82XbJyu;143,096,272 DOGE ($8,800,185);143,096,272;143096272;
71;DRVd3RRmcUh7w8ra2HDkvNiBpYy4u4yKs1;131,942,336 DOGE ($8,114,236) / -9874216 DOGE;131,942,336;131942336;
;wallet: 205725;;;;
72;DMoonzxadHZJmgP6cCRvFZvec8wJb67j38;130,000,026 DOGE ($7,994,787);130,000,026;130000026;
73;DHKM6NDUUv9kaHAGi1QU7MRBNKfQiAdP3F;121,621,885 DOGE ($7,479,545);121,621,885;121621885;
74;D7J8gJgs79VsFYkL37c1vA3vdUNhvKVLdG;120,630,125 DOGE ($7,418,554) +314531 DOGE / +11341811 DOGE;120,630,125;120630125;
75;DFGBxpZncATmjHgKgt527yAPJxAWP6LFWC;120,379,269 DOGE ($7,403,126);120,379,269;120379269;
76;DCTpBbA5HUgcf39219AWtZuf76pNxM1m4e;120,203,362 DOGE ($7,392,308);120,203,362;120203362;
77;D5yVYrobXFZLCPdCYVf9ndJ1aUvjhsyazg;120,203,362 DOGE ($7,392,308);120,203,362;120203362;
78;DCjbrhWwy92ZXHM598F5WtUsPB2z1iyphf;120,203,362 DOGE ($7,392,308);120,203,362;120203362;
79;D5H4oSgxgSv8w8m8Eo3xxKMAHsbyzY8HjJ;120,203,362 DOGE ($7,392,308);120,203,362;120203362;
80;DDpf4hhQ9KVDTRweFBAixuo6sjnnqjhofi;120,203,362 DOGE ($7,392,308);120,203,362;120203362;
81;DEBKccoUBDUuqqwQiqHKbSGLfrrzADpgR1;120,203,362 DOGE ($7,392,308);120,203,362;120203362;
82;DPPgfELC94eZuWBfXAQtMJTabpVuF33sY5;120,000,008 DOGE ($7,379,802);120,000,008;120000008;
83;DN5Hp2kCkvCsdwr5SPmwHpiJgjKnC5wcT7;119,812,244 DOGE ($7,368,255) -48134274 DOGE / -56274665 DOGE;119,812,244;119812244;
;wallet: 3377817;;;;
84;DFBx6m9YHYFHgrmYXmTh1YQTaZv7Z3Zd8x;119,678,813 DOGE ($7,360,050);119,678,813;119678813;
85;D74RXL1RfBMzn2PcAjhCcyWtHJpmHgQtFm;118,452,681 DOGE ($7,284,644) +2564914 DOGE / +15592157 DOGE;118,452,681;118452681;
;wallet: 413349;;;;
86;DMoonjyH1aHLZc1kksmikBUhjXromn1ZN4;116,001,032 DOGE ($7,133,872);116,001,032;116001032;
87;DPZRf5bQmLYuhZmKsz6BqKFrNcVhuzf95j;109,026,480 DOGE ($6,704,949) +3047435 DOGE / +5503220 DOGE;109,026,480;109026480;
;wallet: 205725;;;;
88;DTVQd2jrTzhq2Qth2vpKubzUeHGpRSCBjv;108,295,534 DOGE ($6,659,997);108,295,534;108295534;
89;DFUBkwzf1zEhDghSUyjniNs6jA29CY82eJ;108,267,816 DOGE ($6,658,292) / -31850983 DOGE;108,267,816;108267816;
;wallet: 3087320;;;;
90;DQ8KqJ4nQg4g2Qof2BsMj6HVau5N1iXLKX;107,440,221 DOGE ($6,607,396);107,440,221;107440221;
