;Address;Bal;Balance;Label
45;3H5JTt42K7RmZtromfTSefcMEFMMe18pMD;16,786 BTC ($333,115,358);16,786 ;Exchange
;wallet: Poloniex-coldwallet;;;
46;39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN;16,455 BTC ($326,551,623) / +249.9 BTC;16,455 ;
47;3FpYfDGJSdkMAvZvCrwPHDqdmGqUkTsJys;16,422 BTC ($325,889,537) -1937 BTC / +8891 BTC;16,422 ;
;wallet: 68880850;;;
48;15pqaBHFwFEphRqmXAPbs3QRLLPB7e2uMb;16,320 BTC ($323,871,984) / +679.72 BTC;16,320 ;
49;34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBP;16,307 BTC ($323,601,624);16,307 ;
50;1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG;15,746 BTC ($312,468,829);15,746 ;
51;1KUr81aewyTFUfnq4ZrpePZqXixd59ToNn;15,000 BTC ($297,673,335);15,000 ;
52;3BMEXqGpG4FxBA1KWhRFufXfSTRgzfDBhJ 3-of-4;14,770 BTC ($293,111,520);14,770 ;Exchange
;wallet: BITMEX-coldwallet;;;
53;3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9 4-of-8;14,510 BTC ($287,955,139);14,510 ;
54;1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8;14,500 BTC ($287,750,910) / -7900 BTC;14,500 ;
55;1KVpuCfhftkzJ67ZUegaMuaYey7qni7pPj;14,041 BTC ($278,634,330);14,041 ;
56;1BZaYtmXka1y3Byi2yvXCDG92Tjz7ecwYj;14,000 BTC ($277,828,476);14,000 ;
57;3EKWP3ZviLXudcoAfzammYQKwaz2zJKwQW;13,938 BTC ($276,603,479) +1620 BTC / +1028 BTC;13,938 ;
58;36rPiyFi4pZmnAyYbDTABqLN3WcWP6yJXS 2-of-5;13,500 BTC ($267,915,037) / -1000 BTC;13,500 ;
;wallet: 87481923;;;
59;bc1q4vxn43l44h30nkluqfxd9eckf45vr2awz38lwa;13,003 BTC ($258,043,516);13,003 ;
60;18saWjMCchDTGWunefuDJSWNdz4p6KtfBL;12,933 BTC ($256,646,959) / +3060 BTC;12,933 ;
61;1PL2cmmMLmGGDtqaSZJY8DR1iKJaziEPJv;12,854 BTC ($255,081,989) / +2981 BTC;12,854 ;
62;3HSMPBUuAPQf6CU5B3qa6fALrrZXswHaF1;12,549 BTC ($249,031,486) -82.25 BTC / -8571 BTC;12,549 ;Exchange
;wallet: OKEX-coldwallet;;;
63;bc1qw0pswznckx7s6tjmd2f5hrx4q6kc5nyrdxku50;12,392 BTC ($245,927,678) +220.04 BTC / +900.53 BTC;12,392 ;
64;bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9;12,270 BTC ($243,505,548) +1300 BTC / -5730 BTC;12,270 ;
65;13nwifHUz5ZfHuQhk5ETJ4BhmqbuQdvTFp;12,189 BTC ($241,891,050) / +2316 BTC;12,189 ;
66;1FZy7CPFA2UqqQJYUA1cG9KvdDFbSMBJYG;12,024 BTC ($238,612,632) -1015 BTC / -3645 BTC;12,024 ;
67;3GWUKxq55XsQ7rkzbxAgfSyf6KHp8Ljh3R 2-of-3;12,000 BTC ($238,138,765);12,000 ;
68;15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxv;12,000 BTC ($238,138,681) / +12000 BTC;12,000 ;
69;bc1q080rkmk3kj86pxvf5nkxecdrw6nrx3zzy9xl7q;11,992 BTC ($237,981,958) -1496 BTC / -4986 BTC;11,992 ;
;wallet: 68700104;;;
70;1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb;11,400 BTC ($226,228,432);11,400 ;
71;3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh;11,102 BTC ($220,319,430) +1999 BTC / -7201 BTC;11,102 ;Exchange
;wallet: OKEX-coldwallet;;;
72;3EEDeu13ex19AqQBTZStVsAFy6j1gRwgWc 2-of-3;11,062 BTC ($219,517,792);11,062 ;
;wallet: 77374090;;;
73;1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC;10,771 BTC ($213,740,078);10,771 ;
74;35pgGeez3ou6ofrpjt8T7bvC9t6RrUK4p6 2-of-3;10,768 BTC ($213,685,446) -436.92 BTC / +830.51 BTC;10,768 ;
;wallet: 69400086;;;
75;bc1qhd0r5kh3u9mhac7de58qd2rdfx4kkv84kpx302;10,500 BTC ($208,371,380);10,500 ;
76;bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40;10,297 BTC ($204,333,200);10,297 ;
77;bc1qu5mhu0nghreufhrvp8rrnuftlmukjhdarw8hxscjmwxxpf7csqnsnpy60t;10,296 BTC ($204,328,577);10,296 ;
78;1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr;10,009 BTC ($198,632,721);10,009 ;
79;bc1qsxdxm0exqdsmnl9ejrz250xqxrxpxkgf5nhhtq;10,002 BTC ($198,483,446);10,002 ;
80;bc1qtef0p08lputg4qazhx2md43ynhc9kp20pn297qnz68068d9z48asmemanj;10,001 BTC ($198,464,733);10,001 ;
81;1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV;10,000 BTC ($198,450,438);10,000 ;
82;bc1qe75775tzuvspl59cw77ycc472jl0sgue69x3up;10,000 BTC ($198,449,766);10,000 ;
83;14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec;10,000 BTC ($198,449,587);10,000 ;
84;1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT;10,000 BTC ($198,449,402);10,000 ;
85;35WHp4Hid61peyH4tuhNunwRj2gtNB41Lo;10,000 BTC ($198,449,245);10,000 ;
86;1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm;10,000 BTC ($198,449,224);10,000 ;
87;1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt;10,000 BTC ($198,449,150);10,000 ;
88;12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me;10,000 BTC ($198,449,126);10,000 ;
89;1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt;10,000 BTC ($198,449,108);10,000 ;
90;1CPaziTqeEixPoSFtJxu74uDGbpEAotZom;10,000 BTC ($198,449,106);10,000 ;
91;1LfV1tSt3KNyHpFJnAzrqsLFdeD2EvU1MK;10,000 BTC ($198,448,984);10,000 ;
;wallet: 33664448;;;
92;bc1q5nfww5jn5k4ghg7dpa4gy85x7uu3l4g0m0re76;10,000 BTC ($198,448,951);10,000 ;
93;bc1q4srun4yspqem2pqgk47eq9jspcht3fmyrmfdeu;10,000 BTC ($198,448,901);10,000 ;
94;bc1qe39l9l84sa44r9j2jjkgdc7p4ltj3sracd932k;10,000 BTC ($198,448,901);10,000 ;
95;bc1qvy0sp8cdj3cv2wwh05scucxw6vxqpdlhfjvqn8;10,000 BTC ($198,448,901);10,000 ;
96;bc1qm6q8tgml3cr9gpx63a5jqtj2dxlsyz4q3ghjlf;10,000 BTC ($198,448,901);10,000 ;
97;1EU2pMence1UfifCco2UHJCdoqorAtpT7;10,000 BTC ($198,448,894);10,000 ;
98;bc1qlkdlchlylfdkspvevnlqqlmt4l222hwva2z3n7;9,906 BTC ($196,582,914);9,906 B;
99;bc1qg6kqkkaexnxpvle8w3zy5j7w4k9uz5rqmrx5lw;9,905 BTC ($196,562,936);9,905 B;
100;bc1qqdykm85ycxjqjh5hrkwmewts02mm6ku5rlck3m;9,904 BTC ($196,550,561);9,904 B;
