Rank;Address;Name Tag;BAL;B;Balance;Label
46;0x66f820a414680b5bcda5eeca5dea238543f42054;Bittrex 3;188,508.62367176 Ether;188,508.62367176 ;188508.62367176 ;Exchange
47;0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28;;187,068.1956 Ether;187,068.1956 ;187068.1956 ;
48;0x7d812b62dc15e6f4073eba8a2ba8db19c4e40704;;181,199.52948235 Ether;181,199.52948235 ;181199.52948235 ;
49;0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4;;179,934.95634821 Ether;179,934.95634821 ;179934.95634821 ;
50;0x36a85757645e8e8aec062a1dee289c7d615901ca;Bitfinex 10;177,328.30765968 Ether;177,328.30765968 ;177328.30765968 ;Exchange
51;0x550cd530bc893fc6d2b4df6bea587f17142ab64e;;176,818.52352084 Ether;176,818.52352084 ;176818.52352084 ;
52;0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c;;172,592.06179937 Ether;172,592.06179937 ;172592.06179937 ;
53;0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6;;172,038.06720675 Ether;172,038.06720675 ;172038.06720675 ;
54;0xdc1487e092caba080c6badafaa75a58ce7a2ec34;;171,371.28401292 Ether;171,371.28401292 ;171371.28401292 ;
55;0xa0efb63be0db8fc11681a598bf351a42a6ff50e0;;169,861.72849572 Ether;169,861.72849572 ;169861.72849572 ;
56;0x8b83b9c4683aa4ec897c569010f09c6d04608163;;169,861.72849572 Ether;169,861.72849572 ;169861.72849572 ;
57;0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4;;169,031.99351958 Ether;169,031.99351958 ;169031.99351958 ;
58;0x4756eeebf378046f8dd3cb6fa908d93bfd45f139;;167,720.90830506 Ether;167,720.90830506 ;167720.90830506 ;
59;0x554f4476825293d4ad20e02b54aca13956acc40a;;167,628.98641908 Ether;167,628.98641908 ;167628.98641908 ;
60;0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9;Golem: Multisig;165,034.34311324 Ether;165,034.34311324 ;165034.34311324 ;
61;0x6262998ced04146fa42253a5c0af90ca02dfd2a3;Crypto.com;163,149.79884955 Ether;163,149.79884955 ;163149.79884955 ;Exchange
62;0xa8dcc0373822b94d7f57326be24ca67bafcaad6b;;159,723.38178711 Ether;159,723.38178711 ;159723.38178711 ;
63;0xd69b0089d9ca950640f5dc9931a41a5965f00303;Gemini 7;159,461.57638037 Ether;159,461.57638037 ;159461.57638037 ;Exchange
