,Address,Total,Balance,Label,Outs,Ins,In_amount,Out_amount,First_in,Last_in,First_out,Last_out,Address_length,Percentage,Diff,Percentage_ins,Percentage_outs,Percentage_diff,Interval_in,Interval_out,Interval_diff,Interval_first,Interval_in_days,Interval_out_days,Interval_first_days,Avg_acc_in,Avg_acc_out,Diff_avg_acc,Last_transaction,Interval_from_last_tx,Interval_from_last_tx_days,Last_future,genesis,First in,genesis_to_first_in,genesis_to_first_in_days
58,0x554f4476825293d4ad20e02b54aca13956acc40a,11,167628.98641908,,0,11,167628.98641908928,0.0,2018-12-01 00:21:00,2022-07-08 16:22:00,,,42,0.13794712438134502,11,100.0,0.0,100.0,1315 days 16:01:00.000000000,,,,1315.0,,,127.47451438714015,,,2022-07-08 16:22:00,4 days 00:38:00.000000000,4.0,False,2015-07-30 00:00:00,2018-12-01 00:21:00,1220 days 00:21:00.000000000,1220.0
59,0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,493,165034.34311324,,0,493,821056.8931928086,656022.5500795611,2016-11-10 11:28:00,2022-05-27 18:40:00,,,42,0.13581191142992197,493,100.0,0.0,100.0,2024 days 07:12:00.000000000,,,,2024.0,,,405.66052035217814,,,2022-05-27 18:40:00,45 days 22:20:00.000000000,45.0,False,2015-07-30 00:00:00,2016-11-10 11:28:00,469 days 11:28:00.000000000,469.0
60,0x6262998ced04146fa42253a5c0af90ca02dfd2a3,767737,163149.79884955,Exchange,9070,758667,3637035.7255827338,3473417.1,2019-03-18 09:26:00,2022-07-12 16:26:00,2019-04-01 09:38:00,2022-07-12 08:21:00,42,0.13426106114144343,749597,98.81860585070147,1.181394149298523,97.63721170140296,1212 days 07:00:00.000000000,1197 days 22:43:00.000000000,14 days 08:17:00.000000000,14 days 00:12:00.000000000,1212.0,1197.0,14.0,3000.8545590616613,2901.768671679198,99.08588738246317,2022-07-12 16:26:00,0 days 00:34:00.000000000,0.0,False,2015-07-30 00:00:00,2019-03-18 09:26:00,1327 days 09:26:00.000000000,1327.0
61,0xa8dcc0373822b94d7f57326be24ca67bafcaad6b,12,159723.38178711,,0,12,159723.38178711574,0.0,2018-12-01 00:10:00,2022-07-08 18:54:00,,,42,0.131441355607264,12,100.0,0.0,100.0,1315 days 18:44:00.000000000,,,,1315.0,,,121.46264774685608,,,2022-07-08 18:54:00,3 days 22:06:00.000000000,3.0,False,2015-07-30 00:00:00,2018-12-01 00:10:00,1220 days 00:10:00.000000000,1220.0
62,0xd69b0089d9ca950640f5dc9931a41a5965f00303,103,159461.57638037,Exchange,0,103,269218.170617497,109756.59423711828,2018-12-18 16:48:00,2022-07-05 20:18:00,,,42,0.13122590776749132,103,100.0,0.0,100.0,1295 days 03:30:00.000000000,,,,1295.0,,,207.89047924131043,,,2022-07-05 20:18:00,6 days 20:42:00.000000000,6.0,False,2015-07-30 00:00:00,2018-12-18 16:48:00,1237 days 16:48:00.000000000,1237.0
63,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,42907,154810.50538213,,0,42907,6181729.217592931,6032108.798899198,2021-01-05 05:18:00,2022-07-12 15:45:00,,,42,0.12739839628987226,42907,100.0,0.0,100.0,553 days 10:27:00.000000000,,,,553.0,,,11178.533847365155,,,2022-07-12 15:45:00,0 days 01:15:00.000000000,0.0,False,2015-07-30 00:00:00,2021-01-05 05:18:00,1986 days 05:18:00.000000000,1986.0
64,0xfd898a0f677e97a9031654fc79a27cb5e31da34a,30,150000.1,,0,30,150000.1,0.0,2018-12-01 02:19:00,2022-01-05 05:52:00,,,42,0.1234397635751555,30,100.0,0.0,100.0,1131 days 03:33:00.000000000,,,,1131.0,,,132.62608311229002,,,2022-01-05 05:52:00,188 days 11:08:00.000000000,188.0,False,2015-07-30 00:00:00,2018-12-01 02:19:00,1220 days 02:19:00.000000000,1220.0
65,0xb8cda067fabedd1bb6c11c626862d7255a2414fe,5,150000.0012345,,0,5,150000.0012345,0.0,2018-12-01 02:30:00,2022-07-02 15:32:00,,,42,0.12343968229794322,5,100.0,0.0,100.0,1309 days 13:02:00.000000000,,,,1309.0,,,114.59129200496562,,,2022-07-02 15:32:00,10 days 01:28:00.000000000,10.0,False,2015-07-30 00:00:00,2018-12-01 02:30:00,1220 days 02:30:00.000000000,1220.0
66,0x701c484bfb40ac628afa487b6082f084b14af0bd,32,150000.00106900002,,0,32,150000.00106900002,0.0,2018-12-01 02:18:00,2022-06-20 04:31:00,,,42,0.12343968216174814,32,100.0,0.0,100.0,1297 days 02:13:00.000000000,,,,1297.0,,,115.65150429375484,,,2022-06-20 04:31:00,22 days 12:29:00.000000000,22.0,False,2015-07-30 00:00:00,2018-12-01 02:18:00,1220 days 02:18:00.000000000,1220.0
67,0x4b4a011c420b91260a272afd91e54accdafdfc1d,6,150000.001,,0,6,150000.001,0.0,2018-12-01 01:52:00,2022-06-20 04:50:00,,,42,0.12343968210496586,6,100.0,0.0,100.0,1297 days 02:58:00.000000000,,,,1297.0,,,115.65150424055511,,,2022-06-20 04:50:00,22 days 12:10:00.000000000,22.0,False,2015-07-30 00:00:00,2018-12-01 01:52:00,1220 days 01:52:00.000000000,1220.0
68,0xc4cf565a5d25ee2803c9b8e91fc3d7c62e79fe69,5,150000.0006789,,0,5,150000.0006789,0.0,2018-12-01 01:57:00,2022-07-02 15:33:00,,,42,0.12343968184072264,5,100.0,0.0,100.0,1309 days 13:36:00.000000000,,,,1309.0,,,114.59129158051947,,,2022-07-02 15:33:00,10 days 01:27:00.000000000,10.0,False,2015-07-30 00:00:00,2018-12-01 01:57:00,1220 days 01:57:00.000000000,1220.0
69,0xd05e6bf1a00b5b4c9df909309f19e29af792422b,5,150000.000051,,0,5,150000.000051,0.0,2018-12-01 01:42:00,2022-07-02 15:36:00,,,42,0.12343968132400415,5,100.0,0.0,100.0,1309 days 13:54:00.000000000,,,,1309.0,,,114.59129110084034,,,2022-07-02 15:36:00,10 days 01:24:00.000000000,10.0,False,2015-07-30 00:00:00,2018-12-01 01:42:00,1220 days 01:42:00.000000000,1220.0
70,0x19d599012788b991ff542f31208bab21ea38403e,5,150000.000015,,0,5,150000.000015,0.0,2018-12-01 01:45:00,2022-07-02 15:34:00,,,42,0.12343968129437863,5,100.0,0.0,100.0,1309 days 13:49:00.000000000,,,,1309.0,,,114.59129107333843,,,2022-07-02 15:34:00,10 days 01:26:00.000000000,10.0,False,2015-07-30 00:00:00,2018-12-01 01:45:00,1220 days 01:45:00.000000000,1220.0
71,0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9,7,150000.0,,0,7,150000.0,0.0,2018-12-01 02:39:00,2022-06-20 04:59:00,,,42,0.12343968128203467,7,100.0,0.0,100.0,1297 days 02:20:00.000000000,,,,1297.0,,,115.6515034695451,,,2022-06-20 04:59:00,22 days 12:01:00.000000000,22.0,False,2015-07-30 00:00:00,2018-12-01 02:39:00,1220 days 02:39:00.000000000,1220.0
72,0xb20411c403687d1036e05c8a7310a0f218429503,4,150000.0,,0,4,150000.0,0.0,2018-12-01 02:35:00,2018-12-01 02:37:00,,,42,0.12343968128203467,4,100.0,0.0,100.0,0 days 00:02:00.000000000,,,,0.0,,,inf,,,2018-12-01 02:37:00,1319 days 14:23:00.000000000,1319.0,False,2015-07-30 00:00:00,2018-12-01 02:35:00,1220 days 02:35:00.000000000,1220.0
73,0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,37,150000.0,,0,37,150000.0,0.0,2018-12-01 02:35:00,2018-12-11 21:00:00,,,42,0.12343968128203467,37,100.0,0.0,100.0,10 days 18:25:00.000000000,,,,10.0,,,15000.0,,,2018-12-11 21:00:00,1308 days 20:00:00.000000000,1308.0,False,2015-07-30 00:00:00,2018-12-01 02:35:00,1220 days 02:35:00.000000000,1220.0
74,0xb9fa6e54025b4f0829d8e1b42e8b846914659632,4,150000.0,,0,4,150000.0,0.0,2018-12-01 02:21:00,2018-12-01 02:39:00,,,42,0.12343968128203467,4,100.0,0.0,100.0,0 days 00:18:00.000000000,,,,0.0,,,inf,,,2018-12-01 02:39:00,1319 days 14:21:00.000000000,1319.0,False,2015-07-30 00:00:00,2018-12-01 02:21:00,1220 days 02:21:00.000000000,1220.0
75,0xba18ded5e0d604a86428282964ae0bb249ceb9d0,4,150000.0,,0,4,150000.0,0.0,2018-12-01 02:17:00,2018-12-01 02:41:00,,,42,0.12343968128203467,4,100.0,0.0,100.0,0 days 00:24:00.000000000,,,,0.0,,,inf,,,2018-12-01 02:41:00,1319 days 14:19:00.000000000,1319.0,False,2015-07-30 00:00:00,2018-12-01 02:17:00,1220 days 02:17:00.000000000,1220.0
76,0xfe01a216234f79cfc3bea7513e457c6a9e50250d,4,150000.0,,0,4,150000.0,0.0,2018-12-01 02:16:00,2018-12-01 02:32:00,,,42,0.12343968128203467,4,100.0,0.0,100.0,0 days 00:16:00.000000000,,,,0.0,,,inf,,,2018-12-01 02:32:00,1319 days 14:28:00.000000000,1319.0,False,2015-07-30 00:00:00,2018-12-01 02:16:00,1220 days 02:16:00.000000000,1220.0
77,0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d,4,150000.0,,0,4,150000.0,0.0,2018-12-01 02:16:00,2018-12-01 02:34:00,,,42,0.12343968128203467,4,100.0,0.0,100.0,0 days 00:18:00.000000000,,,,0.0,,,inf,,,2018-12-01 02:34:00,1319 days 14:26:00.000000000,1319.0,False,2015-07-30 00:00:00,2018-12-01 02:16:00,1220 days 02:16:00.000000000,1220.0
78,0xe04cf52e9fafa3d9bf14c407afff94165ef835f7,4,150000.0,,0,4,150000.0,0.0,2018-12-01 01:53:00,2018-12-01 02:04:00,,,42,0.12343968128203467,4,100.0,0.0,100.0,0 days 00:11:00.000000000,,,,0.0,,,inf,,,2018-12-01 02:04:00,1319 days 14:56:00.000000000,1319.0,False,2015-07-30 00:00:00,2018-12-01 01:53:00,1220 days 01:53:00.000000000,1220.0
79,0x77afe94859163abf0b90725d69e904ea91446c7b,4,150000.0,,0,4,150000.0,0.0,2018-12-01 01:48:00,2018-12-01 01:51:00,,,42,0.12343968128203467,4,100.0,0.0,100.0,0 days 00:03:00.000000000,,,,0.0,,,inf,,,2018-12-01 01:51:00,1319 days 15:09:00.000000000,1319.0,False,2015-07-30 00:00:00,2018-12-01 01:48:00,1220 days 01:48:00.000000000,1220.0
80,0xca582d9655a50e6512045740deb0de3a7ee5281f,4,150000.0,,0,4,150000.0,0.0,2018-12-01 01:43:00,2018-12-01 01:56:00,,,42,0.12343968128203467,4,100.0,0.0,100.0,0 days 00:13:00.000000000,,,,0.0,,,inf,,,2018-12-01 01:56:00,1319 days 15:04:00.000000000,1319.0,False,2015-07-30 00:00:00,2018-12-01 01:43:00,1220 days 01:43:00.000000000,1220.0
81,0x0f00294c6e4c30d9ffc0557fec6c586e6f8c3935,5,150000.0,,0,5,150000.0,0.0,2018-12-01 01:41:00,2018-12-01 02:17:00,,,42,0.12343968128203467,5,100.0,0.0,100.0,0 days 00:36:00.000000000,,,,0.0,,,inf,,,2018-12-01 02:17:00,1319 days 14:43:00.000000000,1319.0,False,2015-07-30 00:00:00,2018-12-01 01:41:00,1220 days 01:41:00.000000000,1220.0
82,0xeb2b00042ce4522ce2d1aacee6f312d26c4eb9d6,4,150000.0,,0,4,150000.0,0.0,2018-12-01 01:41:00,2018-12-01 01:49:00,,,42,0.12343968128203467,4,100.0,0.0,100.0,0 days 00:08:00.000000000,,,,0.0,,,inf,,,2018-12-01 01:49:00,1319 days 15:11:00.000000000,1319.0,False,2015-07-30 00:00:00,2018-12-01 01:41:00,1220 days 01:41:00.000000000,1220.0
83,0x7ae92148e79d60a0749fd6de374c8e81dfddf792,4,150000.0,,0,4,150000.0,0.0,2018-12-01 01:41:00,2018-12-01 01:44:00,,,42,0.12343968128203467,4,100.0,0.0,100.0,0 days 00:03:00.000000000,,,,0.0,,,inf,,,2018-12-01 01:44:00,1319 days 15:16:00.000000000,1319.0,False,2015-07-30 00:00:00,2018-12-01 01:41:00,1220 days 01:41:00.000000000,1220.0
84,0x091933ee1088cdf5daace8baec0997a4e93f0dd6,4,150000.0,,0,4,150000.0,0.0,2018-12-01 00:12:00,2018-12-01 00:15:00,,,42,0.12343968128203467,4,100.0,0.0,100.0,0 days 00:03:00.000000000,,,,0.0,,,inf,,,2018-12-01 00:15:00,1319 days 16:45:00.000000000,1319.0,False,2015-07-30 00:00:00,2018-12-01 00:12:00,1220 days 00:12:00.000000000,1220.0
85,0x828103b231b39fffce028562412b3c04a4640e64,5,150000.0,,0,5,150000.0,0.0,2018-12-01 00:06:00,2018-12-01 02:04:00,,,42,0.12343968128203467,5,100.0,0.0,100.0,0 days 01:58:00.000000000,,,,0.0,,,inf,,,2018-12-01 02:04:00,1319 days 14:56:00.000000000,1319.0,False,2015-07-30 00:00:00,2018-12-01 00:06:00,1220 days 00:06:00.000000000,1220.0
86,0x19184ab45c40c2920b0e0e31413b9434abd243ed,308,148556.95876725,,138,170,203408.04336836888,54850.05,2018-11-26 04:56:00,2022-07-04 07:02:00,2018-11-26 05:32:00,2022-06-28 16:23:00,42,0.1222521576163847,32,55.1948051948052,44.8051948051948,10.38961038961039,1316 days 02:06:00.000000000,1310 days 10:51:00.000000000,5 days 15:15:00.000000000,0 days 00:36:00.000000000,1316.0,1310.0,0.0,154.56538249876056,41.87026717557252,112.69511532318803,2022-07-04 07:02:00,8 days 09:58:00.000000000,8.0,False,2015-07-30 00:00:00,2018-11-26 04:56:00,1215 days 04:56:00.000000000,1215.0
87,0x4baf012726cb5ec7dda57bc2770798a38100c44d,8,145000.09839497,,2,6,150000.11887797446,5000.02,2016-10-28 02:01:00,2022-06-22 14:59:00,2016-10-28 02:14:00,2020-02-24 19:35:00,42,0.11932510621159174,4,75.0,25.0,50.0,2063 days 12:58:00.000000000,1214 days 17:21:00.000000000,848 days 19:37:00.000000000,0 days 00:13:00.000000000,2063.0,1214.0,0.0,72.70970377022513,4.118632619439868,68.59107115078527,2022-06-22 14:59:00,20 days 02:01:00.000000000,20.0,False,2015-07-30 00:00:00,2016-10-28 02:01:00,456 days 02:01:00.000000000,456.0
88,0xd6216fc19db775df9774a6e33526131da7d19a2c,6408,138806.65006624,Exchange,6174,234,409563.4303023577,270732.51124280354,2020-10-22 07:12:00,2022-06-28 07:25:00,2020-10-22 07:16:00,2022-07-12 10:16:00,42,0.11422832429335719,-5940,3.651685393258427,96.34831460674157,-92.69662921348315,614 days 00:13:00.000000000,628 days 03:00:00.000000000,-15 days +21:13:00.000000000,0 days 00:04:00.000000000,614.0,628.0,0.0,667.04141743055,431.1027249089228,235.93869252162722,2022-07-12 10:16:00,0 days 06:44:00.000000000,0.0,False,2015-07-30 00:00:00,2020-10-22 07:12:00,1911 days 07:12:00.000000000,1911.0
89,0x3262f13a39efaca789ae58390441c9ed76bc658a,22,138498.04165199,,0,22,138498.15315199998,0.11150000000129599,2020-08-16 15:08:00,2022-05-14 21:11:00,,,42,0.1139743607980507,22,100.0,0.0,100.0,636 days 06:03:00.000000000,,,,636.0,,,217.76439174842764,,,2022-05-14 21:11:00,58 days 19:49:00.000000000,58.0,False,2015-07-30 00:00:00,2020-08-16 15:08:00,1844 days 15:08:00.000000000,1844.0
90,0x8fd589aa8bfa402156a6d1ad323fec0ecee50d9d,85,136526.82411929,,81,4,1171207.0054231235,1059679.7983260395,2022-04-19 07:47:00,2022-07-12 06:19:00,2022-04-19 07:49:00,2022-07-12 15:36:00,42,0.11235218437155704,-77,4.705882352941177,95.29411764705881,-90.58823529411765,83 days 22:32:00.000000000,84 days 07:47:00.000000000,-1 days +14:45:00.000000000,0 days 00:02:00.000000000,83.0,84.0,0.0,14110.92777618221,12615.235694357612,1495.692081824598,2022-07-12 15:36:00,0 days 01:24:00.000000000,0.0,False,2015-07-30 00:00:00,2022-04-19 07:47:00,2455 days 07:47:00.000000000,2455.0
91,0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6,281,135283.676786,,6,275,285283.6795580077,150000.0,2017-05-14 01:41:00,2022-06-22 15:02:00,2017-07-25 01:17:00,2017-07-28 11:27:00,42,0.11132915963417087,269,97.86476868327402,2.135231316725979,95.72953736654804,1865 days 13:21:00.000000000,3 days 10:10:00.000000000,1862 days 03:11:00.000000000,71 days 23:36:00.000000000,1865.0,3.0,71.0,152.96712040643843,50000.0,-49847.032879593564,2022-06-22 15:02:00,20 days 01:58:00.000000000,20.0,False,2015-07-30 00:00:00,2017-05-14 01:41:00,654 days 01:41:00.000000000,654.0
92,0x8d95842b0bca501446683be598e12f1c616770c1,48,130000.0,,0,48,130000.0,0.0,2018-12-11 20:59:00,2022-06-22 15:07:00,,,42,0.10698105711109669,48,100.0,0.0,100.0,1288 days 18:08:00.000000000,,,,1288.0,,,100.93167701863354,,,2022-06-22 15:07:00,20 days 01:53:00.000000000,20.0,False,2015-07-30 00:00:00,2018-12-11 20:59:00,1230 days 20:59:00.000000000,1230.0
93,0x35aeed3aa9657abf8b847038bb591b51e1e4c69f,62,129793.40309661,,0,62,129793.4030966162,0.0,2020-02-19 18:58:00,2020-03-13 12:35:00,,,42,0.10681104207170791,62,100.0,0.0,100.0,22 days 17:37:00.000000000,,,,22.0,,,5899.700140755282,,,2020-03-13 12:35:00,851 days 04:25:00.000000000,851.0,False,2015-07-30 00:00:00,2020-02-19 18:58:00,1665 days 18:58:00.000000000,1665.0
94,0xb93d8596ac840816bd366dc0561e8140afd0d1cb,56,128576.12063659,,0,56,128576.12063659554,0.0,2020-03-02 23:12:00,2020-03-19 15:35:00,,,42,0.10580930234574072,56,100.0,0.0,100.0,16 days 16:23:00.000000000,,,,16.0,,,8036.0075397872215,,,2020-03-19 15:35:00,845 days 01:25:00.000000000,845.0,False,2015-07-30 00:00:00,2020-03-02 23:12:00,1677 days 23:12:00.000000000,1677.0
95,0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c,10,123587.69025187,Exchange,9,1,124387.841256,800.0,2019-01-04 13:26:00,2019-01-04 13:26:00,2019-02-18 12:22:00,2020-11-29 17:45:00,42,0.10170416730049103,-8,10.0,90.0,-80.0,0 days 00:00:00.000000000,650 days 05:23:00.000000000,-651 days +18:37:00.000000000,44 days 22:56:00.000000000,0.0,650.0,44.0,inf,1.2307692307692308,inf,2020-11-29 17:45:00,589 days 23:15:00.000000000,589.0,False,2015-07-30 00:00:00,2019-01-04 13:26:00,1254 days 13:26:00.000000000,1254.0
96,0xcafea35ce5a2fc4ced4464da4349f81a122fd12b,3342,122210.37215823,,0,3342,162839.7224797635,40629.35032153173,2021-05-26 14:14:00,2022-07-10 13:56:00,,,42,0.10057072925713836,3342,100.0,0.0,100.0,409 days 23:42:00.000000000,,,,409.0,,,398.141130757368,,,2022-07-10 13:56:00,2 days 03:04:00.000000000,2.0,False,2015-07-30 00:00:00,2021-05-26 14:14:00,2127 days 14:14:00.000000000,2127.0
97,0x595faf77e533a5cd30ab5859c9a0116de8bad8db,50,120000.0,,0,50,120000.0,0.0,2020-09-04 01:09:00,2020-09-05 20:14:00,,,42,0.09875174502562772,50,100.0,0.0,100.0,1 days 19:05:00.000000000,,,,1.0,,,120000.0,,,2020-09-05 20:14:00,674 days 20:46:00.000000000,674.0,False,2015-07-30 00:00:00,2020-09-04 01:09:00,1863 days 01:09:00.000000000,1863.0
98,0x1bd3fc5ac794e7af8e834a8a4d25b08acd9266ce,53,120000.0,,0,53,120000.0,0.0,2020-07-27 21:14:00,2020-09-04 01:09:00,,,42,0.09875174502562772,53,100.0,0.0,100.0,38 days 03:55:00.000000000,,,,38.0,,,3157.8947368421054,,,2020-09-04 01:09:00,676 days 15:51:00.000000000,676.0,False,2015-07-30 00:00:00,2020-07-27 21:14:00,1824 days 21:14:00.000000000,1824.0
99,0xd5268a476aadd1a6729df5b3e5e8f2c1004139af,55,120000.0,,0,55,120000.0,0.0,2020-05-06 22:04:00,2020-07-23 17:44:00,,,42,0.09875174502562772,55,100.0,0.0,100.0,77 days 19:40:00.000000000,,,,77.0,,,1558.4415584415585,,,2020-07-23 17:44:00,718 days 23:16:00.000000000,718.0,False,2015-07-30 00:00:00,2020-05-06 22:04:00,1742 days 22:04:00.000000000,1742.0
