,Address,% of coins,First In,Last In,Ins,First Out,Last Out,Outs,Balance,Label,In_amount,Out_amount
30,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,0.1475%,06/04/2010 00:47,17/06/2022 00:52,140.0,,,,28151,,28151.05861225,0.0
31,bc1q4jchcr7nla277su5lpjzttxp3xg5j8wds5lcwg,0.1456%,20/08/2020 19:27,12/07/2022 12:21,5289.0,20/08/2020 22:22,11/07/2022 22:20,5284.0,27791,,4524509.24936676,4496655.42678598
32,35c9KmMXzn7wu5TVttu8cB3aUjFzYMtEps,0.1318%,12/07/2022 00:16,12/07/2022 00:16,12.0,,,,25160,,25160.1,4200.0
33,17MWdxfjPYP2PYhdy885QtihfbW181r1rn,0.1283%,13/12/2020 13:50,17/06/2022 00:52,13.0,,,,24495,,24495.3504357,0.0
34,1aXzEKiDJKzkPxTZy9zGc3y1nCDwDPub2,0.1267%,04/08/2016 12:29,11/07/2022 18:09,218.0,18/11/2016 15:58,23/12/2021 14:50,214.0,24181,,263978.77119504,239798.25360386
35,19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C,0.1255%,13/12/2020 12:33,17/06/2022 00:52,16.0,,,,23969,,23969.00154845,0.0
36,3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnE,0.1230%,17/02/2021 19:32,12/07/2022 01:21,381.0,20/04/2021 23:27,12/07/2022 00:29,343.0,23484,Exchange,81174.13377195,57690.33231652
37,14m3sd9HCCFJW4LymahJCKMabAxTK4DAqW,0.1216%,09/03/2020 04:20,24/06/2022 23:57,776.0,09/03/2020 07:59,12/05/2022 12:04,769.0,23220,,168031.73765802,144811.73765802
38,1932eKraQ3Ad9MeNBHb14WFQbNrLaKeEpT,0.1199%,17/03/2020 14:28,13/06/2021 22:07,29.0,,,,22900,,22899.99043553,0.0
39,18B1dqmRiMVt6mwUrqMUvkT14mChTwdXGT,0.1057%,06/07/2022 22:54,06/07/2022 22:55,2.0,,,,20180,,20179.71272355,0.0
40,bc1qtw30nantkrh7y5ue73gm4mmy0zezfqxug3psr94sd967qwg7f76scfmr9p,0.1055%,21/03/2021 18:12,21/03/2021 20:32,165.0,21/03/2021 18:12,21/03/2021 19:47,40.0,20136,,24950.78538292,4814.55
41,17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,0.1048%,28/03/2017 15:59,23/06/2022 01:21,65.0,28/03/2017 16:04,28/03/2017 16:04,1.0,20008,,20008.6619445,0.66
42,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,0.1017%,24/07/2010 14:16,17/06/2022 02:55,97.0,,,,19414,,19414.43070793,0.0
43,3K5dmrkBMS8ZVgERMLwiw7PJuG8GWTbo8e,0.09743%,03/11/2021 01:40,17/06/2022 02:55,3.0,,,,18600,,18600.04804228,0.0
44,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,0.08792%,23/12/2018 01:50,09/06/2022 16:33,72.0,28/01/2019 19:14,15/09/2021 20:29,15.0,16786,Exchange,39110.13981154,22324.18857339
45,39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN,0.08619%,24/02/2021 14:55,06/07/2022 03:38,201.0,29/06/2021 14:40,04/07/2022 10:59,199.0,16455,,311974.48719097,295519.28785382
46,3FpYfDGJSdkMAvZvCrwPHDqdmGqUkTsJys,0.08602%,18/06/2020 07:32,10/07/2022 13:52,2952.0,18/06/2020 08:33,09/07/2022 06:55,2797.0,16422,,979167.51583394,962745.67955013
47,15pqaBHFwFEphRqmXAPbs3QRLLPB7e2uMb,0.08548%,10/08/2021 23:29,25/06/2022 00:56,36.0,,,,16320,,16320.17019734,0.0
48,34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBP,0.08541%,22/10/2021 22:49,24/06/2022 23:55,3.0,,,,16307,,16306.54652746,0.0
49,1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,0.08247%,22/01/2018 18:05,23/06/2022 01:21,68.0,22/01/2018 23:14,22/01/2018 23:14,1.0,15746,,15745.56601902,0.01
50,1KUr81aewyTFUfnq4ZrpePZqXixd59ToNn,0.07857%,19/07/2019 23:30,17/06/2022 02:55,34.0,,,,15000,,14999.99914699,0.0
51,3BMEXqGpG4FxBA1KWhRFufXfSTRgzfDBhJÂ 3-of-4,0.07736%,18/07/2017 05:32,14/05/2021 15:12,119.0,28/07/2017 06:11,14/05/2021 15:12,118.0,14770,Exchange,,
52,3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9Â 4-of-8,0.07600%,01/02/2019 16:46,08/03/2022 18:56,45.0,15/08/2020 18:55,23/03/2022 14:25,28.0,14510,,,
53,1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,0.07595%,28/09/2018 16:43,17/06/2022 02:55,78.0,17/03/2020 14:28,24/06/2022 17:11,56.0,14500,,55300.00032226,40800.00013869
54,1KVpuCfhftkzJ67ZUegaMuaYey7qni7pPj,0.07354%,01/11/2019 20:09,17/06/2022 02:55,17.0,02/11/2019 00:34,04/06/2022 14:59,2.0,14041,,14040.61980788,0.011476
55,1BZaYtmXka1y3Byi2yvXCDG92Tjz7ecwYj,0.07333%,17/01/2018 05:20,17/06/2022 02:55,52.0,,,,14000,,14000.0007158,0.0
56,3EKWP3ZviLXudcoAfzammYQKwaz2zJKwQW,0.07301%,04/11/2020 13:58,12/07/2022 12:21,1708.0,04/11/2020 14:21,12/07/2022 12:21,1692.0,13938,,176370.78350655,162452.09205315
57,36rPiyFi4pZmnAyYbDTABqLN3WcWP6yJXSÂ 2-of-5,0.07071%,25/09/2018 19:16,23/06/2022 01:21,35.0,25/09/2018 19:16,22/06/2022 21:04,3.0,13500,,,
58,bc1q4vxn43l44h30nkluqfxd9eckf45vr2awz38lwa,0.06811%,27/07/2021 15:39,17/06/2022 02:55,9.0,,,,13003,,13003.02067014,0.0
59,18saWjMCchDTGWunefuDJSWNdz4p6KtfBL,0.06774%,04/12/2018 20:03,17/06/2022 13:20,100.0,,,,12933,,12932.64700226,0.0
60,1PL2cmmMLmGGDtqaSZJY8DR1iKJaziEPJv,0.06733%,04/12/2018 20:03,22/06/2022 00:00,91.0,,,,12854,,12853.78692078,0.0
61,3HSMPBUuAPQf6CU5B3qa6fALrrZXswHaF1,0.06573%,01/04/2021 00:50,09/07/2022 05:10,199.0,13/05/2021 23:28,06/07/2022 00:07,192.0,12549,Exchange,75309.01236633,62760.11518843
62,bc1qw0pswznckx7s6tjmd2f5hrx4q6kc5nyrdxku50,0.06491%,25/07/2021 16:18,12/07/2022 05:22,345.0,,,,12392,,12392.49378745,0.0
63,bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9,0.06427%,04/03/2022 10:50,12/07/2022 09:23,76.0,04/03/2022 11:15,12/07/2022 03:22,60.0,12270,,222476.63273412,210206.19199281
64,13nwifHUz5ZfHuQhk5ETJ4BhmqbuQdvTFp,0.06385%,04/12/2018 20:00,22/06/2022 03:12,92.0,,,,12189,,12189.08489943,0.0
65,1FZy7CPFA2UqqQJYUA1cG9KvdDFbSMBJYG,0.06298%,15/12/2021 21:53,11/07/2022 22:53,84.0,16/12/2021 01:54,08/07/2022 00:53,63.0,12024,,32731.3959421,20707.5131921
66,3GWUKxq55XsQ7rkzbxAgfSyf6KHp8Ljh3RÂ 2-of-3,0.06285%,27/04/2021 05:19,17/06/2022 02:55,36.0,27/04/2021 11:11,12/04/2022 15:24,11.0,12000,,,
67,15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxv,0.06285%,16/06/2022 21:42,08/07/2022 18:14,6.0,18/06/2022 08:39,18/06/2022 08:39,2.0,12000,,12000.00469617,0.00469617
68,bc1q080rkmk3kj86pxvf5nkxecdrw6nrx3zzy9xl7q,0.06281%,20/10/2020 13:06,27/06/2022 10:54,221.0,21/10/2020 06:38,08/07/2022 14:59,175.0,11992,,37709.80400272,25717.70139847
69,1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,0.05971%,07/01/2018 13:57,17/06/2022 02:55,65.0,11/10/2019 10:09,09/01/2021 13:48,6.0,11400,,44968.08143333,33568.24850032
70,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,0.05815%,22/01/2019 18:38,07/07/2022 16:07,207.0,24/01/2019 21:11,06/07/2022 00:07,178.0,11102,Exchange,158966.45596487,147864.38237669
71,3EEDeu13ex19AqQBTZStVsAFy6j1gRwgWcÂ 2-of-3,0.05794%,09/06/2021 17:47,27/06/2022 15:57,40.0,10/06/2021 14:37,30/06/2022 21:57,33.0,11062,,,
72,1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC,0.05642%,09/08/2011 00:14,17/06/2022 02:55,94.0,,,,10771,,10770.53470305,0.0
73,35pgGeez3ou6ofrpjt8T7bvC9t6RrUK4p6Â 2-of-3,0.05640%,08/06/2020 17:39,11/07/2022 20:05,535.0,16/06/2020 16:15,07/07/2022 17:11,407.0,10768,,,
74,bc1qhd0r5kh3u9mhac7de58qd2rdfx4kkv84kpx302,0.05500%,28/12/2020 20:43,03/07/2022 18:00,15.0,,,,10500,,10500.00169552,0.0
75,bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40,0.05393%,11/03/2021 15:37,23/06/2022 01:21,7.0,01/04/2021 09:16,01/04/2021 09:16,1.0,10297,,10296.51557282,0.001
76,bc1qu5mhu0nghreufhrvp8rrnuftlmukjhdarw8hxscjmwxxpf7csqnsnpy60t,0.05393%,07/06/2022 08:40,24/06/2022 23:57,3.0,,,,10296,,10296.28161466,0.0
77,1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr,0.05243%,04/05/2011 04:10,17/06/2022 03:10,72.0,,,,10009,,10009.26282042,0.0
78,bc1qsxdxm0exqdsmnl9ejrz250xqxrxpxkgf5nhhtq,0.05239%,14/08/2021 06:37,17/06/2022 03:10,2.0,,,,10002,,10001.7407437,0.0
79,bc1qtef0p08lputg4qazhx2md43ynhc9kp20pn297qnz68068d9z48asmemanj,0.05238%,12/11/2021 13:19,17/06/2022 03:10,4.0,22/04/2022 19:31,22/04/2022 19:31,2.0,10001,,20001.79776765,10001.0
80,1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV,0.05238%,04/05/2011 04:01,17/06/2022 03:10,43.0,,,,10000,,10000.07741876,0.0
81,bc1qe75775tzuvspl59cw77ycc472jl0sgue69x3up,0.05238%,31/12/2021 13:48,17/06/2022 03:10,22.0,,,,10000,,10000.04355857,0.0
82,14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,0.05238%,04/05/2011 03:40,17/06/2022 03:10,54.0,,,,10000,,10000.03455676,0.0
83,1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT,0.05238%,17/10/2017 01:18,17/06/2022 03:10,42.0,,,,10000,,10000.02521437,0.0
84,35WHp4Hid61peyH4tuhNunwRj2gtNB41Lo,0.05238%,09/05/2022 12:08,17/06/2022 03:10,12.0,,,,10000,,10000.01733782,0.0
85,1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm,0.05238%,03/04/2011 00:18,17/06/2022 03:10,64.0,,,,10000,,10000.01627012,0.0
86,1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,0.05238%,04/05/2011 03:14,17/06/2022 03:10,50.0,,,,10000,,10000.01252628,0.0
87,12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me,0.05238%,02/04/2011 23:08,17/06/2022 03:10,51.0,,,,10000,,10000.01134115,0.0
88,1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt,0.05238%,04/05/2011 04:01,17/06/2022 03:10,39.0,,,,10000,,10000.01039895,0.0
89,1CPaziTqeEixPoSFtJxu74uDGbpEAotZom,0.05238%,04/05/2011 03:28,17/06/2022 03:10,38.0,,,,10000,,10000.01029819,0.0
90,1LfV1tSt3KNyHpFJnAzrqsLFdeD2EvU1MK,0.05238%,05/02/2014 18:33,06/04/2022 05:22,75.0,22/09/2017 18:59,19/04/2018 14:34,13.0,10000,,20000.01374654,10000.00957003
91,bc1q5nfww5jn5k4ghg7dpa4gy85x7uu3l4g0m0re76,0.05238%,19/05/2022 20:28,17/06/2022 03:10,22.0,,,,10000,,10000.0025085,0.0
92,bc1q4srun4yspqem2pqgk47eq9jspcht3fmyrmfdeu,0.05238%,04/05/2022 22:08,17/06/2022 03:10,21.0,,,,10000,,10000.000006,0.0
93,bc1qe39l9l84sa44r9j2jjkgdc7p4ltj3sracd932k,0.05238%,25/04/2022 12:11,17/06/2022 03:10,21.0,,,,10000,,10000.000006,0.0
94,bc1qvy0sp8cdj3cv2wwh05scucxw6vxqpdlhfjvqn8,0.05238%,11/05/2022 17:16,17/06/2022 03:10,21.0,,,,10000,,10000.000006,0.0
95,bc1qm6q8tgml3cr9gpx63a5jqtj2dxlsyz4q3ghjlf,0.05238%,08/04/2022 14:20,17/06/2022 03:10,19.0,,,,10000,,10000.000006,0.0
96,1EU2pMence1UfifCco2UHJCdoqorAtpT7,0.05238%,29/05/2018 23:32,17/06/2022 03:10,27.0,,,,10000,,9999.99965367,0.0
97,bc1qlkdlchlylfdkspvevnlqqlmt4l222hwva2z3n7,0.05189%,29/07/2021 19:26,17/06/2022 03:50,2.0,,,,9906,,9905.97138833,0.0
98,bc1qg6kqkkaexnxpvle8w3zy5j7w4k9uz5rqmrx5lw,0.05188%,29/07/2021 19:26,17/06/2022 03:50,2.0,,,,9905,,9904.96471501,0.0
99,bc1qqdykm85ycxjqjh5hrkwmewts02mm6ku5rlck3m,0.05188%,29/07/2021 21:42,17/06/2022 03:50,2.0,,,,9904,,9904.34110971,0.0
