,Address,Total,Balance,Label,Outs,Last Out,First Out,Ins,Last In,First In,In_amount,Out_amount
32,0x189b9cbd4aff470af2c0102f365fc1823d857965,1397,245807.45957569,,432,12/07/2022 07:19,23/10/2019 6:12,965,12/07/2022 09:10,09/10/2019 01:42,582854.6888398791,337045.61
33,0x9845e1909dca337944a0272f1f9f7249833d2d19,34,235001.21828349,,1,08/10/2020 06:27,08/10/2020 06:27,33,04/07/2022 06:52,08/10/2020 06:24,235001.3193334915,0.1
34,0x7b0419581eb2e34b4d3bfc1689f1bd855d364d9d,3,231927.78796174,,0,,,3,04/07/2022 06:54,23/06/2022 20:16,231927.78796174456,0.0
35,0x78605df79524164911c144801f41e9811b7db73d,54,220473.68847312,,0,,,54,30/06/2022 04:13,21/06/2021 07:57,230473.68847312042,10000.0
36,0x0548f59fee79f8832c299e01dca5c76f034f558e,10171,218239.89087634,,7347,12/07/2022 15:38,26/05/2020 20:14,2824,12/07/2022 15:38,26/05/2020 19:20,10411294.908800423,10191852.625054654
37,0x59448fe20378357f206880c58068f095ae63d5a5,28,215368.75591044,Exchange,0,,,28,26/12/2021 11:26,26/12/2021 11:24,215368.75591044,0.0
38,0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,24605,209616.60078014,Exchange,10000,12/07/2022 16:13,14/04/2020 16:13,10000,12/07/2022 16:13,14/04/2020 16:13,2047950.4815680913,1837787.78884186
39,0xbddf00563c9abd25b576017f08c46982012f12be,295,203815.187217,,0,,,295,09/07/2022 02:58,21/04/2021 01:51,347654.871336,143839.684119
40,0x558553d54183a8542f7832742e7b4ba9c33aa1e6,50,200001.664584,Exchange,6,30/06/2021 14:45,02/06/2020 05:46,44,31/03/2022 14:14,02/06/2020 05:15,400006.773719,200005.098866
41,0x98ec059dc3adfbdd63429454aeb0c990fba4a128,37,200000.10703597,Exchange,0,,,37,26/12/2021 10:37,18/03/2019 04:02,200000.10703597133,0.0
42,0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d,44,200000.0,,0,,,44,17/05/2022 19:37,10/03/2021 19:54,229492.9827233863,29492.98272338629
43,0xa160cdab225685da1d56aa342ad8841c3b53f291,8385,198300.0,,0,,,8385,01/07/2022 03:21,25/12/2019 18:02,2918300.0,2720500.0
