,Address,% of coins,First In,Last In,Ins,First Out,Last Out,Outs,Balance,Label,In_amount,Out_amount
29,D5BqFPG9Fw4BL5vrnoWxddeH12W3RXMYZh,0.3559%,10/05/2021 21:07,05/07/2022 15:00,53.0,11/05/2021 00:38,06/12/2021 22:14,14.0,481369668.0,,5.04121222,0.0
30,DPky8skSdy16gn8yYGFbjVcgqQn39SU8am,0.3356%,02/12/2021 14:05,29/12/2021 05:28,6.0,09/03/2022 08:01,09/03/2022 08:01,5.0,453879285.0,Exchange,453879290.2628776,5.04121222
31,DQfmzdceKQTUv7RnnWJ6zxYfCBvxnPn1B8,0.3215%,05/05/2022 19:13,20/06/2022 22:00,6.0,,,,434873911.0,,434873910.66998863,0.0
32,DMJsqFNLTHaDsj4cGfzdYpTJ4SJUxPquYP,0.2965%,13/05/2019 01:08,30/12/2021 21:05,159.0,13/05/2019 01:22,15/04/2021 15:59,55.0,401000070.0,,111.84034853,0.0
33,DEpFaVzjmQVYh4RWiCDSwnc6XyvQaxuyr8,0.2810%,13/05/2019 19:45,31/12/2021 05:31,8.0,,,,380000007.0,,380000006.7312122,0.0
34,D9QroTckMcABx2MHftswKFENcXngL8scUh,0.2413%,23/03/2021 16:14,31/12/2021 05:31,7.0,,,,326383479.0,,326383478.81121224,0.0
35,DJfU2p6woQ9GiBdiXsWZWJnJ9uDdZfSSNC,0.2403%,17/11/2021 09:09,12/07/2022 13:46,250243.0,24/11/2021 04:33,12/07/2022 13:46,249910.0,325032906.0,,16194278722.575428,15876254417.723654
36,DGf7a1UXruciKiKWvW9cFVoERQtAxg6jga,0.2218%,22/02/2018 19:38,31/12/2021 05:31,8.0,,,,300000007.0,,300000007.0412122,0.0
37,DHyyCZW7Amsvwcfhg6seYnvT7uyW4YdyZc,0.2164%,02/07/2021 17:30,06/07/2022 21:48,261.0,27/07/2021 20:55,06/07/2022 21:48,260.0,292685236.0,,3146333871.7148356,2853648635.679628
38,DQHqNvgsikHvkE8YrCsL6d1pxZ7DR5s2HW,0.2162%,26/11/2015 03:57,31/12/2021 05:35,56194.0,04/12/2015 05:03,18/09/2016 08:54,26931.0,292414318.0,,562424078.1231275,270009760.18633294
39,D7vrVREYM4H9Vbtoqi6mxsmzsuVjE6PDet,0.2139%,10/03/2022 10:39,03/07/2022 11:56,51.0,12/03/2022 06:40,03/07/2022 11:56,39.0,289359498.0,,7649037631.74836,7359678134.161363
40,DLH6o3PPPupQY5bKFw8sVDw477zkdzxRKe,0.2032%,04/05/2021 12:59,31/12/2021 05:39,145.0,04/05/2021 13:11,19/08/2021 13:25,55.0,274851003.0,,761615561.0665468,486764557.7960826
41,DK1D2fkQmT8T7ToboCh5j2pPdnvq1H1H9e,0.1911%,04/07/2022 18:29,04/07/2022 18:29,1.0,,,,258492753.0,,258492753.43428648,0.0
