ï»¿,Address,Balance,Label
71.0,DRVd3RRmcUh7w8ra2HDkvNiBpYy4u4yKs1,131942336.0,
72.0,DMoonzxadHZJmgP6cCRvFZvec8wJb67j38,130000026.0,
73.0,DHKM6NDUUv9kaHAGi1QU7MRBNKfQiAdP3F,121621885.0,
74.0,D7J8gJgs79VsFYkL37c1vA3vdUNhvKVLdG,120630125.0,
75.0,DFGBxpZncATmjHgKgt527yAPJxAWP6LFWC,120379269.0,
76.0,DCTpBbA5HUgcf39219AWtZuf76pNxM1m4e,120203362.0,
77.0,D5yVYrobXFZLCPdCYVf9ndJ1aUvjhsyazg,120203362.0,
78.0,DCjbrhWwy92ZXHM598F5WtUsPB2z1iyphf,120203362.0,
79.0,D5H4oSgxgSv8w8m8Eo3xxKMAHsbyzY8HjJ,120203362.0,
80.0,DDpf4hhQ9KVDTRweFBAixuo6sjnnqjhofi,120203362.0,
81.0,DEBKccoUBDUuqqwQiqHKbSGLfrrzADpgR1,120203362.0,
82.0,DPPgfELC94eZuWBfXAQtMJTabpVuF33sY5,120000008.0,
83.0,DN5Hp2kCkvCsdwr5SPmwHpiJgjKnC5wcT7,119812244.0,
84.0,DFBx6m9YHYFHgrmYXmTh1YQTaZv7Z3Zd8x,119678813.0,
85.0,D74RXL1RfBMzn2PcAjhCcyWtHJpmHgQtFm,118452681.0,
86.0,DMoonjyH1aHLZc1kksmikBUhjXromn1ZN4,116001032.0,
87.0,DPZRf5bQmLYuhZmKsz6BqKFrNcVhuzf95j,109026480.0,
88.0,DTVQd2jrTzhq2Qth2vpKubzUeHGpRSCBjv,108295534.0,
89.0,DFUBkwzf1zEhDghSUyjniNs6jA29CY82eJ,108267816.0,
90.0,DQ8KqJ4nQg4g2Qof2BsMj6HVau5N1iXLKX,107440221.0,
91.0,DTJgZkCy5dzMUdj211VtSsoJkXUJPzNdDG,106328381.0,
92.0,DN4VDmvdusJtL66evr1oXgmvHi37cCJDWh,105252554.0,
93.0,DFHMxqTjbtKKfJ2uAhNMFrw1SkeWhS3meS,104719244.0,
94.0,D5LLkAy7aLfr4Fx8D3EuidfrziqqkjTxNq,104151596.0,
95.0,DG4pSs8UzxN1cMnfmMbfJzqtPzubPEojZH,104141737.0,
96.0,DN6KNHT6BvuKNke3S9yP1M3h6TCgKCXj3m,104141737.0,
97.0,D7fXyKdKEDhf7iDT3sSdr7Dm6W1hy4QLW3,104141737.0,
98.0,D8hi4d1sGLz4UckRxPybJ1A61ifs8RsF1j,104141737.0,
99.0,DHg7AcJLmRJUeiJcsSJdpoaGRm6DsittZR,104141737.0,
100.0,DEBmRVBhnvh36axYboCnT8C7fac5hJf5XE,104141737.0,
