;Address;Bal;% of coins;First In;Last In;Ins;First Out;Last Out;Outs;B;Balance;Label
23;D6LKpBFJaf6moGenC39eXEjzAqLzYiTfdz;712,965,174 DOGE ($43,846,182);0.5271%;25/12/2020 12:40;29/12/2021 05:24;36;28/01/2021 22:27;28/01/2021 22:27;9;712,965,174;712965174;
24;DGogsHSEVxeX5TVDuiJsvwK4af1WSaHgvQ;608,487,914 DOGE ($37,421,003) / +608487914 DOGE;0.4499%;27/06/2022 17:51;27/06/2022 17:51;1;;;;608,487,914;608487914;
25;D6xiMfjQNdcGe9aVXCCUk2PyzWCxfnZww9;560,144,357 DOGE ($34,447,954) / +560144357 DOGE;0.4142%;25/06/2022 01:55;25/06/2022 01:55;1;;;;560,144,357;560144357;
26;D61T1GVeMZM8UHvXKyyD55Ur9efAF2mb5f;519,910,032 DOGE ($31,973,609);0.3844%;09/02/2021 06:47;23/05/2022 15:10;8783;07/03/2021 01:46;26/04/2022 12:24;8141;519,910,032;519910032;Exchange
;wallet: crypto.com;;;;;;;;;;;
27;DJtqonMkvsVr8rVr4Pdf5zYfZrnaLSdnwi;504,716,187 DOGE ($31,039,213);0.3732%;30/08/2018 14:01;12/05/2022 06:19;2500;07/09/2018 10:27;10/05/2021 16:41;1015;504,716,187;504716187;
;wallet: 3337586;;;;;;;;;;;
28;DBpNLLEj13LWr14wm1YH24nuqAjodrjaLL;490,279,746 DOGE ($30,151,395);0.3625%;27/01/2014 12:42;29/12/2021 05:25;97;09/04/2018 15:24;21/07/2021 00:50;26;490,279,746;490279746;
29;DEAWXsx1Ge925D7gn2wC3scwDXLf2svd7T;484,239,906 DOGE ($29,779,955) -2050003 DOGE / +7799913 DOGE;0.3580%;22/06/2021 15:11;11/07/2022 19:58;102;09/10/2021 14:58;11/07/2022 19:58;97;484,239,906;484239906;
30;D5BqFPG9Fw4BL5vrnoWxddeH12W3RXMYZh;481,369,668 DOGE ($29,603,440) / +10000001 DOGE;0.3559%;10/05/2021 21:07;05/07/2022 15:00;53;11/05/2021 00:38;06/12/2021 22:14;14;481,369,668;481369668;
31;DPky8skSdy16gn8yYGFbjVcgqQn39SU8am;453,879,285 DOGE ($27,912,827);0.3356%;02/12/2021 14:05;29/12/2021 05:28;6;09/03/2022 08:01;09/03/2022 08:01;5;453,879,285;453879285;Exchange
;wallet: crypto.com;;;;;;;;;;;
32;DQfmzdceKQTUv7RnnWJ6zxYfCBvxnPn1B8;434,873,911 DOGE ($26,744,028);0.3215%;05/05/2022 19:13;20/06/2022 22:00;6;;;;434,873,911;434873911;
33;DMJsqFNLTHaDsj4cGfzdYpTJ4SJUxPquYP;401,000,070 DOGE ($24,660,843);0.2965%;13/05/2019 01:08;30/12/2021 21:05;159;13/05/2019 01:22;15/04/2021 15:59;55;401,000,070;401000070;
34;DEpFaVzjmQVYh4RWiCDSwnc6XyvQaxuyr8;380,000,007 DOGE ($23,369,373);0.2810%;13/05/2019 19:45;31/12/2021 05:31;8;;;;380,000,007;380000007;
35;D9QroTckMcABx2MHftswKFENcXngL8scUh;326,383,479 DOGE ($20,072,045);0.2413%;23/03/2021 16:14;31/12/2021 05:31;7;;;;326,383,479;326383479;
36;DJfU2p6woQ9GiBdiXsWZWJnJ9uDdZfSSNC;325,032,906 DOGE ($19,988,987) -28667673 DOGE / +171170491 DOGE;0.2403%;17/11/2021 09:09;12/07/2022 13:46;250243;24/11/2021 04:33;12/07/2022 13:46;249910;325,032,906;325032906;
37;DGf7a1UXruciKiKWvW9cFVoERQtAxg6jga;300,000,007 DOGE ($18,449,505);0.2218%;22/02/2018 19:38;31/12/2021 05:31;8;;;;300,000,007;300000007;
38;DHyyCZW7Amsvwcfhg6seYnvT7uyW4YdyZc;292,685,236 DOGE ($17,999,659) -20106698 DOGE /;0.2164%;02/07/2021 17:30;06/07/2022 21:48;261;27/07/2021 20:55;06/07/2022 21:48;260;292,685,236;292685236;
;wallet: 3458719;;;;;;;;;;;
39;DQHqNvgsikHvkE8YrCsL6d1pxZ7DR5s2HW;292,414,318 DOGE ($17,982,998);0.2162%;26/11/2015 03:57;31/12/2021 05:35;56194;04/12/2015 05:03;18/09/2016 08:54;26931;292,414,318;292414318;
;wallet: 791360;;;;;;;;;;;
40;D7vrVREYM4H9Vbtoqi6mxsmzsuVjE6PDet;289,359,498 DOGE ($17,795,132) / -203000016 DOGE;0.2139%;10/03/2022 10:39;03/07/2022 11:56;51;12/03/2022 06:40;03/07/2022 11:56;39;289,359,498;289359498;
41;DLH6o3PPPupQY5bKFw8sVDw477zkdzxRKe;274,851,003 DOGE ($16,902,883);0.2032%;04/05/2021 12:59;31/12/2021 05:39;145;04/05/2021 13:11;19/08/2021 13:25;55;274,851,003;274851003;
;wallet: 3424410;;;;;;;;;;;
42;DK1D2fkQmT8T7ToboCh5j2pPdnvq1H1H9e;258,492,753 DOGE ($15,896,878) / +258492753 DOGE;0.1911%;04/07/2022 18:29;04/07/2022 18:29;1;;;;258,492,753;258492753;
43;D79tQ1VkKn9v2BekHShAZSq2m8XtUA8VEP;250,000,006 DOGE ($15,374,588) / +145000000 DOGE;0.1848%;18/05/2021 04:32;07/07/2022 09:53;147;18/05/2021 12:30;08/07/2022 08:26;136;250,000,006;250000006;
;wallet: 3395110;;;;;;;;;;;
44;DFCT8ZPq6MytZU3HSvbTJevxt4MLq2Xasu;227,000,015 DOGE ($13,960,126);0.1678%;30/03/2021 05:36;31/12/2021 19:27;22;30/03/2021 10:34;30/03/2021 10:34;1;227,000,015;227000015;
45;D8znPD1n3F7KoV9pTBAzyUuEmKG65GG9ab;225,020,506 DOGE ($13,838,390);0.1664%;21/10/2015 22:16;31/12/2021 19:28;9;;;;225,020,506;225020506;
