;Address;Bal;% of coins;First In;Last In;Ins;First Out;Last Out;Outs;Balance;Label
27;3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B;31,275 BTC ($620,655,802);0.1638%;26/07/2021 16:25;23/06/2022 01:21;4;;;;31,275 ;
28;12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr;31,000 BTC ($615,192,997);0.1624%;13/05/2010 10:22;30/06/2022 09:04;138;02/06/2010 12:57;25/07/2010 01:35;4;31,000 ;
;wallet: 967;;;;;;;;;;
29;385cR5DM96n1HvBDMzLHPYcw89fZAXULJP;29,002 BTC ($575,538,712);0.1519%;21/12/2018 02:16;13/05/2022 20:17;123;09/01/2019 23:58;13/05/2022 20:17;73;29,002 ;Exchange
;wallet: Bittrex-coldwallet;;;;;;;;;;
30;bc1qjysjfd9t9aspttpjqzv68k0ydpe7pvyd5vlyn37868473lell5tqkz456m;28,392 BTC ($563,439,073);0.1487%;14/11/2021 14:38;17/06/2022 00:52;76;03/02/2022 03:05;17/05/2022 05:25;32;28,392 ;
31;12tkqA9xSoowkzoERHMWNKsTey55YEBqkv;28,151 BTC ($558,654,665);0.1475%;06/04/2010 00:47;17/06/2022 00:52;140;;;;28,151 ;
32;bc1q4jchcr7nla277su5lpjzttxp3xg5j8wds5lcwg;27,791 BTC ($551,505,821) +8956 BTC / +7052 BTC;0.1456%;20/08/2020 19:27;12/07/2022 12:21;5289;20/08/2020 22:22;11/07/2022 22:20;5284;27,791 ;
;wallet: 62621121;;;;;;;;;;
33;35c9KmMXzn7wu5TVttu8cB3aUjFzYMtEps;25,160 BTC ($499,299,420) +25160 BTC / +25160 BTC;0.1318%;12/07/2022 00:16;12/07/2022 00:16;12;;;;25,160 ;
34;17MWdxfjPYP2PYhdy885QtihfbW181r1rn;24,495 BTC ($486,107,538);0.1283%;13/12/2020 13:50;17/06/2022 00:52;13;;;;24,495 ;
35;1aXzEKiDJKzkPxTZy9zGc3y1nCDwDPub2;24,181 BTC ($479,859,715);0.1267%;04/08/2016 12:29;11/07/2022 18:09;218;18/11/2016 15:58;23/12/2021 14:50;214;24,181 ;
;wallet: 30100391;;;;;;;;;;
36;19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C;23,969 BTC ($475,662,202);0.1255%;13/12/2020 12:33;17/06/2022 00:52;16;;;;23,969 ;
37;3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnE;23,484 BTC ($466,033,459) +136.61 BTC / -14794 BTC;0.1230%;17/02/2021 19:32;12/07/2022 01:21;381;20/04/2021 23:27;12/07/2022 00:29;343;23,484 ;Exchange
;wallet: OKEX-coldwallet;;;;;;;;;;
38;14m3sd9HCCFJW4LymahJCKMabAxTK4DAqW;23,220 BTC ($460,798,349);0.1216%;09/03/2020 04:20;24/06/2022 23:57;776;09/03/2020 07:59;12/05/2022 12:04;769;23,220 ;
;wallet: 59995019;;;;;;;;;;
39;1932eKraQ3Ad9MeNBHb14WFQbNrLaKeEpT;22,900 BTC ($454,447,794);0.1199%;17/03/2020 14:28;13/06/2021 22:07;29;;;;22,900 ;
40;18B1dqmRiMVt6mwUrqMUvkT14mChTwdXGT;20,180 BTC ($400,464,182) +20180 BTC / +20180 BTC;0.1057%;06/07/2022 22:54;06/07/2022 22:55;2;;;;20,180 ;
41;bc1qtw30nantkrh7y5ue73gm4mmy0zezfqxug3psr94sd967qwg7f76scfmr9p;20,136 BTC ($399,601,379);0.1055%;21/03/2021 18:12;21/03/2021 20:32;165;21/03/2021 18:12;21/03/2021 19:47;40;20,136 ;
;wallet: 74625152;;;;;;;;;;
42;17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn;20,008 BTC ($397,056,600);0.1048%;28/03/2017 15:59;23/06/2022 01:21;65;28/03/2017 16:04;28/03/2017 16:04;1;20,008 ;
43;1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW;19,414 BTC ($385,277,244);0.1017%;24/07/2010 14:16;17/06/2022 02:55;97;;;;19,414 ;
44;3K5dmrkBMS8ZVgERMLwiw7PJuG8GWTbo8e;18,600 BTC ($369,115,910);0.09743%;03/11/2021 01:40;17/06/2022 02:55;3;;;;18,600 ;
45;3H5JTt42K7RmZtromfTSefcMEFMMe18pMD;16,786 BTC ($333,115,358);0.08792%;23/12/2018 01:50;09/06/2022 16:33;72;28/01/2019 19:14;15/09/2021 20:29;15;16,786 ;Exchange
;wallet: Poloniex-coldwallet;;;;;;;;;;
46;39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN;16,455 BTC ($326,551,623) / +249.9 BTC;0.08619%;24/02/2021 14:55;06/07/2022 03:38;201;29/06/2021 14:40;04/07/2022 10:59;199;16,455 ;
47;3FpYfDGJSdkMAvZvCrwPHDqdmGqUkTsJys;16,422 BTC ($325,889,537) -1937 BTC / +8891 BTC;0.08602%;18/06/2020 07:32;10/07/2022 13:52;2952;18/06/2020 08:33;09/07/2022 06:55;2797;16,422 ;
;wallet: 68880850;;;;;;;;;;
